resource_id,job_name,resource_name,resource_desc,resource_url,resource_type,difficulty,source,skill_tag
Java_1,Java,Java程序设计（零基础入门）,东北大学开设的Java零基础课程，从环境搭建、基本语法、流程控制到数组与函数，系统讲解Java程序设计入门知识。,https://www.icourse163.org/learn/-1205915818,视频课程,入门,中国大学MOOC,Java基础
Java_2,Java,Java程序设计,北京大学经典Java课程，涵盖语法、面向对象、GUI、多线程、JDBC与网络编程，配套编程作业与项目实践。,https://www.icourse163.org/learn/PKU-1001941004,视频课程,进阶,中国大学MOOC,Java基础
Java_3,Java,Java面向对象程序设计,江苏海洋大学课程，聚焦类与对象、封装继承多态、接口与抽象类等OOP核心概念。,https://www.icourse163.org/learn/HHIT-1001753066,视频课程,入门,中国大学MOOC,面向对象
Java_4,Java,Learn Java（Oracle官方）,Oracle dev.java 站点Java学习资源，含语法速查、教程与最佳实践，权威且持续更新。,https://dev.java/learn/,文档教程,入门,Oracle,Java基础
Java_5,Java,数据结构与算法（Java描述）,南京工程学院课程，以Java实现线性表、栈队列、树、图及排序查找算法。,https://www.icourse163.org/learn/NJIT-1464552176,视频课程,进阶,中国大学MOOC,数据结构与算法
Java_6,Java,MySQL数据库设计与应用,昆明理工大学数据库课程，讲解SQL、表设计、索引、事务与查询优化。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
Java_7,Java,JavaEE平台技术,厦门大学课程，讲解Spring、Spring MVC、MyBatis与Redis等企业级技术栈。,https://www.icourse163.org/learn/XMU-1462056168,视频课程,进阶,中国大学MOOC,Spring Boot
Java_8,Java,开发第一个Spring Boot应用,Spring Boot中文文档官方入门教程，涵盖项目创建、依赖配置与第一个Web应用。,https://www.spring-doc.cn/spring-boot/3.4.9/tutorial_first-application_index.html,文档教程,进阶,Spring中文文档,Spring Boot
Java_9,Java,Java Web应用开发,扬州职业技术大学课程，讲解Servlet、JSP、MVC模式与Java Web开发流程。,https://www.icourse163.org/learn/YZPC-1449963190,视频课程,进阶,中国大学MOOC,Java Web
Java_10,Java,AcWing算法题库,在线算法练习平台，提供专题编程题与Java提交环境，适合笔试面试准备。,https://www.acwing.com/problem/,在线练习,进阶,AcWing,算法练习
Java_11,Java,Pro Git第二版（中文版）,Git官方书籍中文版，涵盖版本控制、分支合并与远程协作。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
Java_12,Java,Maven Getting Started,Apache Maven官方入门文档，介绍项目结构、pom.xml与依赖管理。,https://maven.apache.org/guides/getting-started/index.html,文档教程,入门,Apache,Maven构建
Java_13,Java,Java开发手册（嵩山版）,阿里云开发者社区Java开发手册专题，涵盖编程规约与工程实践规范。,https://developer.aliyun.com/topic/java20,文档教程,进阶,阿里云开发者社区,Java工程规范
Java_14,Java,Redis入门指南,Redis官方Getting Started，介绍安装、基本数据类型与常用命令。,https://redis.io/docs/latest/develop/get-started/,文档教程,入门,Redis官方,Redis
Java_15,Java,Docker官方入门教程,Docker官方Get Started，讲解容器概念、镜像构建与容器运行。,https://docs.docker.com/get-started/,文档教程,入门,Docker官方,Docker
实施工程师_1,实施工程师,软件工程,北京大学软件工程课程，讲解需求分析、系统设计、项目管理与软件生命周期。,https://www.icourse163.org/learn/PKU-1002525006,视频课程,入门,中国大学MOOC,软件工程
实施工程师_2,实施工程师,ERP原理与应用,北京交通大学ERP课程，讲解企业资源计划系统架构与实施方法论。,https://www.icourse163.org/learn/BJTU-1003377001,视频课程,进阶,中国大学MOOC,ERP实施
实施工程师_3,实施工程师,项目管理,北京理工大学项目管理课程，涵盖范围、进度、成本、质量与风险管理。,https://www.icourse163.org/learn/BIT-1002531002,视频课程,进阶,中国大学MOOC,项目管理
实施工程师_4,实施工程师,MySQL数据库设计与应用,实施工程师需掌握SQL查询、数据迁移与数据库配置。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
实施工程师_5,实施工程师,Linux系统管理,讲解文件系统、用户权限、Shell脚本与服务管理，部署维护必备。,https://www.icourse163.org/learn/OUCC-1002337008,视频课程,入门,中国大学MOOC,Linux
实施工程师_6,实施工程师,计算机网络,帮助理解网络拓扑、协议与故障排查，支撑系统联调与客户环境部署。,https://www.icourse163.org/learn/HIT-1000531008,视频课程,进阶,中国大学MOOC,计算机网络
实施工程师_7,实施工程师,需求分析与软件设计,讲解需求获取、用例建模与原型设计，准确理解客户需求。,https://www.icourse163.org/learn/BFU-1003377002,视频课程,进阶,中国大学MOOC,需求分析
实施工程师_8,实施工程师,Office办公软件应用,涵盖Word/Excel/PPT高级应用，数据整理与方案汇报常用技能。,https://www.icourse163.org/learn/WHU-1002537001,视频课程,入门,中国大学MOOC,Office办公
实施工程师_9,实施工程师,沟通技巧,提升与客户、开发团队的有效沟通能力，协调多方资源的关键软技能。,https://www.icourse163.org/learn/THU-1002537002,视频课程,入门,中国大学MOOC,沟通技巧
实施工程师_10,实施工程师,工程项目管理,同济大学国家精品项目管理课程，讲解项目全生命周期与管理工具。,https://www.icourse163.org/learn/TONGJI-46008,视频课程,进阶,中国大学MOOC,项目管理
实施工程师_11,实施工程师,Docker官方入门教程,容器化部署是实施工程师快速交付与迁移系统的常用手段。,https://docs.docker.com/get-started/,文档教程,入门,Docker官方,Docker
实施工程师_12,实施工程师,Nginx官方文档,反向代理与负载均衡是实施部署的常见配置参考。,https://nginx.org/en/docs/,文档教程,进阶,Nginx官方,Nginx
实施工程师_13,实施工程师,Pro Git第二版（中文版）,版本控制与代码部署协作的基础工具。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
技术支持工程师_1,技术支持工程师,计算机网络,理解TCP/IP、DNS、HTTP等协议以排查网络与连接问题。,https://www.icourse163.org/learn/HIT-1000531008,视频课程,进阶,中国大学MOOC,计算机网络
技术支持工程师_2,技术支持工程师,Linux系统管理,服务器运维与日志排查是技术支持核心工作。,https://www.icourse163.org/learn/OUCC-1002337008,视频课程,入门,中国大学MOOC,Linux
技术支持工程师_3,技术支持工程师,操作系统,理解进程、内存、文件系统有助于定位系统级故障。,https://www.icourse163.org/learn/HIT-1002531001,视频课程,进阶,中国大学MOOC,操作系统
技术支持工程师_4,技术支持工程师,MySQL数据库设计与应用,数据库连接与查询异常是常见技术支持场景。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
技术支持工程师_5,技术支持工程师,Java程序设计,读懂日志与基本代码逻辑以定位Java系统问题。,https://www.icourse163.org/learn/PKU-1001941004,视频课程,进阶,中国大学MOOC,Java基础
技术支持工程师_6,技术支持工程师,沟通技巧,向非技术人员清晰解释问题与解决方案的核心软技能。,https://www.icourse163.org/learn/THU-1002537002,视频课程,入门,中国大学MOOC,沟通技巧
技术支持工程师_7,技术支持工程师,客户服务与管理,讲解服务流程、投诉处理与客户满意度管理。,https://www.icourse163.org/learn/BIT-1003377001,视频课程,入门,中国大学MOOC,客户服务
技术支持工程师_8,技术支持工程师,信息安全概论,了解常见安全威胁与防护，保障系统与用户数据安全。,https://www.icourse163.org/learn/NJU-1002537001,视频课程,进阶,中国大学MOOC,信息安全
技术支持工程师_9,技术支持工程师,Docker官方入门教程,容器化应用部署与故障排查常见场景。,https://docs.docker.com/get-started/,文档教程,入门,Docker官方,Docker
技术支持工程师_10,技术支持工程师,Redis入门指南,缓存相关问题排查需了解Redis基本命令。,https://redis.io/docs/latest/develop/get-started/,文档教程,入门,Redis官方,Redis
技术支持工程师_11,技术支持工程师,Nginx官方文档,Web服务与反向代理配置排查高频场景。,https://nginx.org/en/docs/,文档教程,进阶,Nginx官方,Nginx
技术支持工程师_12,技术支持工程师,Wireshark用户指南,网络抓包与分析是排查连接与协议问题的专业工具。,https://www.wireshark.org/docs/wsug_html_chunked/,文档教程,进阶,Wireshark官方,网络抓包
技术支持工程师_13,技术支持工程师,Pro Git第二版（中文版）,版本回退与代码问题定位常需Git知识。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
测试工程师_1,测试工程师,软件测试,北航软件测试课程，讲解测试理论、用例设计、缺陷管理与测试流程。,https://www.icourse163.org/learn/BUAA-1002537001,视频课程,入门,中国大学MOOC,软件测试理论
测试工程师_2,测试工程师,软件工程,理解软件开发生命周期与质量保障体系。,https://www.icourse163.org/learn/PKU-1002525006,视频课程,入门,中国大学MOOC,软件工程
测试工程师_3,测试工程师,Java程序设计,自动化测试常用Java语言，提供语法与面向对象基础。,https://www.icourse163.org/learn/PKU-1001941004,视频课程,进阶,中国大学MOOC,Java基础
测试工程师_4,测试工程师,Python语言程序设计,测试自动化与脚本编写的主流语言。,https://www.icourse163.org/learn/PKU-1002525007,视频课程,入门,中国大学MOOC,Python
测试工程师_5,测试工程师,MySQL数据库设计与应用,验证数据正确性与SQL逻辑，理解数据层测试要点。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
测试工程师_6,测试工程师,Selenium官方文档,Web自动化测试主流框架，提供安装、API与最佳实践。,https://www.selenium.dev/documentation/,文档教程,进阶,Selenium官方,自动化测试
测试工程师_7,测试工程师,JUnit 5用户指南,Java单元测试标准框架官方指南。,https://junit.org/junit5/docs/current/user-guide/,文档教程,进阶,JUnit官方,单元测试
测试工程师_8,测试工程师,Postman学习中心,API测试、集合管理与自动化流程，接口测试必备。,https://learning.postman.com/docs/introduction/overview/,文档教程,入门,Postman官方,接口测试
测试工程师_9,测试工程师,Apache JMeter用户手册,性能测试场景设计、并发模拟与结果分析。,https://jmeter.apache.org/usermanual/index.html,文档教程,进阶,Apache,性能测试
测试工程师_10,测试工程师,Playwright官方文档,新一代Web自动化测试框架完整指南。,https://playwright.dev/docs/intro,文档教程,进阶,Playwright官方,自动化测试
测试工程师_11,测试工程师,ISTQB软件测试认证概览,国际软件测试资质认证体系与知识体系参考。,https://www.istqb.org/,文档教程,进阶,ISTQB,测试认证
测试工程师_12,测试工程师,Linux系统管理,测试环境搭建与日志分析需Linux基础。,https://www.icourse163.org/learn/OUCC-1002337008,视频课程,入门,中国大学MOOC,Linux
测试工程师_13,测试工程师,Pro Git第二版（中文版）,测试代码与用例版本管理与团队协作。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
软件测试_1,软件测试,软件测试,北航软件测试课程，讲解测试理论、用例设计、缺陷管理与测试流程。,https://www.icourse163.org/learn/BUAA-1002537001,视频课程,入门,中国大学MOOC,软件测试理论
软件测试_2,软件测试,软件工程,理解软件开发生命周期与质量保障体系。,https://www.icourse163.org/learn/PKU-1002525006,视频课程,入门,中国大学MOOC,软件工程
软件测试_3,软件测试,Java程序设计,自动化测试常用Java语言，提供语法与面向对象基础。,https://www.icourse163.org/learn/PKU-1001941004,视频课程,进阶,中国大学MOOC,Java基础
软件测试_4,软件测试,Python语言程序设计,测试自动化与脚本编写的主流语言。,https://www.icourse163.org/learn/PKU-1002525007,视频课程,入门,中国大学MOOC,Python
软件测试_5,软件测试,MySQL数据库设计与应用,验证数据正确性与SQL逻辑，理解数据层测试要点。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
软件测试_6,软件测试,Selenium官方文档,Web自动化测试主流框架，提供安装、API与最佳实践。,https://www.selenium.dev/documentation/,文档教程,进阶,Selenium官方,自动化测试
软件测试_7,软件测试,JUnit 5用户指南,Java单元测试标准框架官方指南。,https://junit.org/junit5/docs/current/user-guide/,文档教程,进阶,JUnit官方,单元测试
软件测试_8,软件测试,Postman学习中心,API测试、集合管理与自动化流程，接口测试必备。,https://learning.postman.com/docs/introduction/overview/,文档教程,入门,Postman官方,接口测试
软件测试_9,软件测试,Apache JMeter用户手册,性能测试场景设计、并发模拟与结果分析。,https://jmeter.apache.org/usermanual/index.html,文档教程,进阶,Apache,性能测试
软件测试_10,软件测试,Playwright官方文档,新一代Web自动化测试框架完整指南。,https://playwright.dev/docs/intro,文档教程,进阶,Playwright官方,自动化测试
软件测试_11,软件测试,ISTQB软件测试认证概览,国际软件测试资质认证体系与知识体系参考。,https://www.istqb.org/,文档教程,进阶,ISTQB,测试认证
软件测试_12,软件测试,Linux系统管理,测试环境搭建与日志分析需Linux基础。,https://www.icourse163.org/learn/OUCC-1002337008,视频课程,入门,中国大学MOOC,Linux
软件测试_13,软件测试,Pro Git第二版（中文版）,测试代码与用例版本管理与团队协作。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
科研人员_1,科研人员,科研伦理与学术规范,讲解学术诚信、论文规范与科研道德的基本素养。,https://www.icourse163.org/learn/BNU-1003377001,视频课程,入门,中国大学MOOC,科研伦理
科研人员_2,科研人员,Python语言程序设计,科研数据处理与可视化的主流工具。,https://www.icourse163.org/learn/PKU-1002525007,视频课程,入门,中国大学MOOC,Python
科研人员_3,科研人员,数据结构与算法,算法思维是科研编程与数据分析的基础能力。,https://www.icourse163.org/learn/NJIT-1464552176,视频课程,进阶,中国大学MOOC,数据结构与算法
科研人员_4,科研人员,统计学,科研数据分析与实验设计需扎实的统计学基础。,https://www.icourse163.org/learn/RUC-1002537001,视频课程,进阶,中国大学MOOC,统计学
科研人员_5,科研人员,文献检索与科技论文写作,文献检索方法、论文结构与投稿规范。,https://www.icourse163.org/learn/USTC-1003377001,视频课程,入门,中国大学MOOC,论文写作
科研人员_6,科研人员,机器学习,监督/无监督学习、神经网络等AI方向科研核心基础。,https://www.icourse163.org/learn/ZJU-1002537001,视频课程,进阶,中国大学MOOC,机器学习
科研人员_7,科研人员,MySQL数据库设计与应用,科研数据管理与存储的数据库知识。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
科研人员_8,科研人员,Learn LaTeX in 30 minutes,Overleaf官方LaTeX入门，科研论文排版标准工具。,https://www.overleaf.com/learn/latex/Learn_LaTeX_in_30_minutes,文档教程,入门,Overleaf,LaTeX排版
科研人员_9,科研人员,NumPy用户指南,Python科学计算核心库官方文档。,https://numpy.org/doc/stable/user/index.html,文档教程,进阶,NumPy官方,NumPy
科研人员_10,科研人员,Pandas入门指南,科研数据清洗、分析与表格处理核心工具。,https://pandas.pydata.org/docs/getting_started/index.html,文档教程,进阶,Pandas官方,Pandas
科研人员_11,科研人员,Matplotlib教程,科研数据可视化与图表绑制标准库。,https://matplotlib.org/stable/tutorials/index.html,文档教程,进阶,Matplotlib官方,数据可视化
科研人员_12,科研人员,Zotero官方文档,文献管理工具，高效管理参考文献与生成引用。,https://www.zotero.org/support/,文档教程,入门,Zotero官方,文献管理
科研人员_13,科研人员,ResearchGate帮助中心,国际科研社交平台使用指南，促进学术合作。,https://help.researchgate.net/hc/en-us,文档教程,入门,ResearchGate,科研社交
C_C_1,C/C++,C语言程序设计,浙江大学C语言经典课程，从语法到指针、结构体与文件操作。,https://www.icourse163.org/learn/ZJU-1002537002,视频课程,入门,中国大学MOOC,C语言
C_C_2,C/C++,C++程序设计,北京大学C++课程，讲解类与对象、继承多态、模板与STL。,https://www.icourse163.org/learn/PKU-1002537002,视频课程,进阶,中国大学MOOC,C++
C_C_3,C/C++,数据结构与算法,算法与数据结构是C/C++面试与工程实践的基础。,https://www.icourse163.org/learn/NJIT-1464552176,视频课程,进阶,中国大学MOOC,数据结构与算法
C_C_4,C/C++,操作系统,C/C++系统编程需理解进程、内存与文件系统原理。,https://www.icourse163.org/learn/HIT-1002531001,视频课程,进阶,中国大学MOOC,操作系统
C_C_5,C/C++,计算机网络,网络编程是C/C++常见应用场景。,https://www.icourse163.org/learn/HIT-1000531008,视频课程,进阶,中国大学MOOC,计算机网络
C_C_6,C/C++,Learn C++,LearnCpp.com免费C++教程，从基础到高级特性。,https://www.learncpp.com/,文档教程,入门,LearnCpp,C++
C_C_7,C/C++,cppreference在线参考,C/C++标准库权威在线参考手册。,https://en.cppreference.com/w/,文档教程,进阶,cppreference,C++标准库
C_C_8,C/C++,CMake官方教程,C/C++项目构建标准工具官方教程。,https://cmake.org/cmake/help/latest/guide/tutorial/index.html,文档教程,进阶,CMake官方,CMake
C_C_9,C/C++,AcWing算法题库,支持C/C++提交的在线算法练习平台。,https://www.acwing.com/problem/,在线练习,进阶,AcWing,算法练习
C_C_10,C/C++,Pro Git第二版（中文版）,C/C++项目协作与版本管理。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
C_C_11,C/C++,Valgrind用户手册,C/C++内存泄漏与性能分析专业工具。,https://valgrind.org/docs/manual/manual.html,文档教程,进阶,Valgrind官方,内存调试
C_C_12,C/C++,C++ Core Guidelines,ISO C++官方FAQ与核心指南，工业级C++最佳实践参考。,https://isocpp.org/wiki/faq,文档教程,进阶,ISO C++,编码规范
C_C_13,C/C++,Linux系统管理,C/C++系统级开发常运行于Linux环境。,https://www.icourse163.org/learn/OUCC-1002337008,视频课程,入门,中国大学MOOC,Linux
前端开发_1,前端开发,HTML5网页设计,语义化标签、表单、多媒体与Canvas，前端HTML基础。,https://www.icourse163.org/learn/BIT-1002537001,视频课程,入门,中国大学MOOC,HTML/CSS
前端开发_2,前端开发,JavaScript程序设计,语法、DOM操作、事件与异步编程，前端核心语言。,https://www.icourse163.org/learn/PKU-1002537003,视频课程,入门,中国大学MOOC,JavaScript
前端开发_3,前端开发,Web前端开发,HTML/CSS/JS与响应式布局，贴近前端岗位技能。,https://www.icourse163.org/learn/BFU-1003377003,视频课程,进阶,中国大学MOOC,前端基础
前端开发_4,前端开发,Vue.js官方教程,国内主流前端框架，讲解组件、路由与状态管理。,https://cn.vuejs.org/guide/introduction.html,文档教程,进阶,Vue.js官方,Vue.js
前端开发_5,前端开发,React官方文档,全球主流前端框架Learn章节。,https://react.dev/learn,文档教程,进阶,React官方,React
前端开发_6,前端开发,TypeScript官方手册,前端工程化必备类型系统与编译配置指南。,https://www.typescriptlang.org/docs/handbook/intro.html,文档教程,进阶,TypeScript官方,TypeScript
前端开发_7,前端开发,MDN Web文档,Mozilla Web开发权威参考，涵盖HTML/CSS/JS API。,https://developer.mozilla.org/zh-CN/docs/Web,文档教程,入门,MDN,Web开发
前端开发_8,前端开发,Node.js官方入门,前端全栈开发需掌握服务端JavaScript运行时。,https://nodejs.org/en/learn/getting-started/introduction-to-nodejs,文档教程,进阶,Node.js官方,Node.js
前端开发_9,前端开发,Webpack概念指南,前端工程化打包工具核心概念与配置入门。,https://webpack.js.org/concepts/,文档教程,进阶,Webpack官方,Webpack
前端开发_10,前端开发,Pro Git第二版（中文版）,前端项目版本管理与团队协作。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
前端开发_11,前端开发,CSS-Tricks指南,CSS布局与动画权威参考，涵盖Flexbox/Grid。,https://css-tricks.com/guides/,文档教程,进阶,CSS-Tricks,CSS
前端开发_12,前端开发,ESLint官方文档,JavaScript代码质量工具规则配置与项目集成。,https://eslint.org/docs/latest/,文档教程,进阶,ESLint官方,代码规范
前端开发_13,前端开发,Vite官方指南,现代前端构建工具快速入门与配置参考。,https://vitejs.dev/guide/,文档教程,进阶,Vite官方,Vite
硬件测试_1,硬件测试,模拟电子技术,理解电路原理与信号特性，硬件测试的电路基础。,https://www.icourse163.org/learn/XJTU-1002537001,视频课程,进阶,中国大学MOOC,模拟电路
硬件测试_2,硬件测试,数字电子技术,逻辑门、组合时序电路与FPGA基础。,https://www.icourse163.org/learn/HIT-1002537001,视频课程,进阶,中国大学MOOC,数字电路
硬件测试_3,硬件测试,软件测试,硬件产品软件层面测试理论与用例设计。,https://www.icourse163.org/learn/BUAA-1002537001,视频课程,入门,中国大学MOOC,软件测试理论
硬件测试_4,硬件测试,嵌入式系统,硬件测试常涉及嵌入式设备与MCU外设接口。,https://www.icourse163.org/learn/BIT-1002537003,视频课程,进阶,中国大学MOOC,嵌入式
硬件测试_5,硬件测试,C语言程序设计,硬件测试脚本与固件调试常用C语言。,https://www.icourse163.org/learn/ZJU-1002537002,视频课程,入门,中国大学MOOC,C语言
硬件测试_6,硬件测试,Python语言程序设计,测试脚本编写与数据分析。,https://www.icourse163.org/learn/PKU-1002525007,视频课程,入门,中国大学MOOC,Python
硬件测试_7,硬件测试,Linux系统管理,嵌入式Linux设备测试需Linux基础。,https://www.icourse163.org/learn/OUCC-1002337008,视频课程,入门,中国大学MOOC,Linux
硬件测试_8,硬件测试,质量管理,硬件测试与质量检验紧密相关，讲解QC方法与标准。,https://www.icourse163.org/learn/BIT-1003377002,视频课程,入门,中国大学MOOC,质量管理
硬件测试_9,硬件测试,Arduino文档中心,开源硬件平台官方文档，了解硬件原型开发与测试。,https://docs.arduino.cc/,文档教程,入门,Arduino官方,Arduino
硬件测试_10,硬件测试,Six Sigma入门,iSixSigma平台Six Sigma概念与方法论入门。,https://www.isixsigma.com/new-to-six-sigma/getting-started/,文档教程,进阶,iSixSigma,Six Sigma
硬件测试_11,硬件测试,ISO 9001概览,ISO官方网站质量管理体系标准介绍，硬件质量检验行业参考。,https://www.iso.org/iso-9001-quality-management.html,文档教程,进阶,ISO,行业标准
硬件测试_12,硬件测试,Pro Git第二版（中文版）,测试脚本与固件代码版本管理。,https://git-scm.com/book/zh/v2,文档教程,入门,Git官方,Git版本控制
硬件测试_13,硬件测试,统计学,测试数据分析与质量统计方法基础。,https://www.icourse163.org/learn/RUC-1002537001,视频课程,进阶,中国大学MOOC,统计学
BD经理_1,BD经理,市场营销,市场营销基本理论、环境分析、消费者行为与营销组合策略。,https://www.icourse163.org/learn/ZBVC-1003007001,视频课程,入门,中国大学MOOC,市场营销
