promotion_id,job_title,title,promotion,stage1,stage2,stage3,stage3_job_title,notes
Java_promotion1,Java,Java后端业务线,Java初级开发工程师 → Java开发工程师 → 高级Java开发工程师,Java初级开发工程师,Java开发工程师,高级Java开发工程师,,
Java_promotion2,Java,Java架构专家线,Java开发工程师 → 高级Java开发工程师 → Java架构师 / 技术专家,Java开发工程师,高级Java开发工程师,Java架构师 / 技术专家,,以已有开发经验为入口
Java_promotion3,Java,Java技术管理线,Java开发工程师 → 高级Java开发工程师 → Java技术负责人 / 研发主管,Java开发工程师,高级Java开发工程师,Java技术负责人 / 研发主管,,
C_C++_promotion1,C/C++,C/C++应用开发线,C/C++初级工程师 → C/C++开发工程师 → 高级C/C++开发工程师,C/C++初级工程师,C/C++开发工程师,高级C/C++开发工程师,,promotion_id中/写作_
C_C++_promotion2,C/C++,C/C++嵌入式线,C/C++初级工程师 → 嵌入式开发工程师 → 高级嵌入式工程师 / 嵌入式架构师,C/C++初级工程师,嵌入式开发工程师,高级嵌入式工程师 / 嵌入式架构师,,
C_C++_promotion3,C/C++,C/C++底层系统线,C/C++工程师 → 系统开发工程师 → 底层架构师 / 驱动开发专家,C/C++工程师,系统开发工程师,底层架构师 / 驱动开发专家,,
实施工程师_promotion1,实施工程师,实施交付线,实施助理 → 实施工程师 → 高级实施工程师,实施助理,实施工程师,高级实施工程师,,
实施工程师_promotion2,实施工程师,实施项目管理线,实施工程师 → 高级实施工程师 → 交付项目经理,实施工程师,高级实施工程师,交付项目经理,项目经理/主管,
实施工程师_promotion3,实施工程师,实施售前方案线,实施工程师 → 高级实施工程师 → 售前顾问 / 解决方案专家,实施工程师,高级实施工程师,售前顾问 / 解决方案专家,销售工程师,
技术支持工程师_promotion1,技术支持工程师,技术支持服务线,技术支持专员 → 技术支持工程师 → 高级技术支持工程师,技术支持专员,技术支持工程师,高级技术支持工程师,,
技术支持工程师_promotion2,技术支持工程师,运维工程师线,技术支持工程师 → 运维工程师 → 高级运维工程师 / SRE工程师,技术支持工程师,运维工程师,高级运维工程师 / SRE工程师,,
技术支持工程师_promotion3,技术支持工程师,IT服务管理线,技术支持工程师 → 高级技术支持 → 技术支持主管 / IT服务经理,技术支持工程师,高级技术支持,技术支持主管 / IT服务经理,,
测试工程师_promotion1,测试工程师,功能测试线,测试助理 → 测试工程师 → 高级测试工程师,测试助理,测试工程师,高级测试工程师,,
测试工程师_promotion2,测试工程师,测试开发SDET线,测试开发实习生 → 测试开发工程师 → 高级测试开发工程师 / 测试架构师,测试开发实习生,测试开发工程师,高级测试开发工程师 / 测试架构师,,
测试工程师_promotion3,测试工程师,测试管理线,测试工程师 → 高级测试工程师 → 测试主管 / 质量经理,测试工程师,高级测试工程师,测试主管 / 质量经理,质量管理/测试,
软件测试_promotion1,软件测试,软件功能测试线,软件测试助理 → 软件测试工程师 → 高级软件测试工程师,软件测试助理,软件测试工程师,高级软件测试工程师,,
软件测试_promotion2,软件测试,自动化测试线,软件测试工程师 → 自动化测试工程师 → 高级自动化测试 / 测试开发Leader,软件测试工程师,自动化测试工程师,高级自动化测试 / 测试开发Leader,,
软件测试_promotion3,软件测试,软件测试管理线,软件测试工程师 → 高级软件测试 → 测试Leader / QA主管,软件测试工程师,高级软件测试,测试Leader / QA主管,质量管理/测试,
科研人员_promotion1,科研人员,基础研究线,科研助理 → 科研人员 → 高级科研人员 / 课题骨干,科研助理,科研人员,高级科研人员 / 课题骨干,,
科研人员_promotion2,科研人员,应用研发线,科研助理 → 科研人员 → 研发技术主管 / 产品经理,科研助理,科研人员,研发技术主管 / 产品经理,产品专员/助理,
科研人员_promotion3,科研人员,科研管理线,科研人员 → 高级科研人员 → 课题负责人 / 实验室主任,科研人员,高级科研人员,课题负责人 / 实验室主任,,
前端开发_promotion1,前端开发,业务前端线,前端助理 → 前端开发工程师 → 高级前端工程师,前端助理,前端开发工程师,高级前端工程师,,
前端开发_promotion2,前端开发,前端工程化线,前端开发工程师 → 高级前端工程师 → 前端架构师 / 工程化专家,前端开发工程师,高级前端工程师,前端架构师 / 工程化专家,,
前端开发_promotion3,前端开发,前端团队管理线,前端开发工程师 → 高级前端工程师 → 前端负责人 / 研发主管,前端开发工程师,高级前端工程师,前端负责人 / 研发主管,,
硬件测试_promotion1,硬件测试,硬件功能测试线,硬件测试助理 → 硬件测试工程师 → 高级硬件测试工程师,硬件测试助理,硬件测试工程师,高级硬件测试工程师,,
硬件测试_promotion2,硬件测试,硬件可靠性测试线,硬件测试工程师 → 可靠性测试工程师 → 高级可靠性工程师 / 测试专家,硬件测试工程师,可靠性测试工程师,高级可靠性工程师 / 测试专家,,
硬件测试_promotion3,硬件测试,硬件质量管理线,硬件测试工程师 → 高级硬件测试 → 硬件质量主管 / QA经理,硬件测试工程师,高级硬件测试,硬件质量主管 / QA经理,质量管理/测试,
质量管理_测试_promotion1,质量管理/测试,质量体系线,质量专员 → 质量工程师 → QA主管 / 质量体系经理,质量专员,质量工程师,QA主管 / 质量体系经理,,
质量管理_测试_promotion2,质量管理/测试,测试转入质量管理线,测试工程师 → 质量工程师 → 质量总监,测试工程师,质量工程师,质量总监,,入口为测试背景
销售工程师_promotion1,销售工程师,售前技术支持线,售前助理 → 销售工程师 → 高级售前工程师,售前助理,销售工程师,高级售前工程师,,
销售工程师_promotion2,销售工程师,解决方案架构线,销售工程师 → 高级售前工程师 → 解决方案架构师 / 售前总监,销售工程师,高级售前工程师,解决方案架构师 / 售前总监,,
风电工程师_promotion1,风电工程师,风电工程技术线,风电助理工程师 → 风电工程师 → 高级风电工程师,风电助理工程师,风电工程师,高级风电工程师,,
风电工程师_promotion2,风电工程师,风电项目管理线,风电工程师 → 高级风电工程师 → 风电项目经理,风电工程师,高级风电工程师,风电项目经理,项目经理/主管,
产品专员_助理_promotion1,产品专员/助理,产品规划线,产品助理 → 产品经理 → 高级产品经理 / 产品总监,产品助理,产品经理,高级产品经理 / 产品总监,,
项目专员_助理_promotion1,项目专员/助理,项目管理线,项目助理 → 项目专员 → 项目经理/主管,项目助理,项目专员,项目经理/主管,项目经理/主管,
项目经理_主管_promotion1,项目经理/主管,项目负责线,项目专员 → 项目经理/主管 → 项目总监 / PMO负责人,项目专员,项目经理/主管,项目总监 / PMO负责人,,以项目专员/助理为典型入口
项目经理_主管_promotion2,项目经理/主管,技术转项目管理线,实施工程师 → 项目经理/主管 → 项目总监,实施工程师,项目经理/主管,项目总监,,
项目招投标_promotion1,项目招投标,招投标商务线,招投标助理 → 招投标专员 → 招投标经理 / 商务总监,招投标助理,招投标专员,招投标经理 / 商务总监,,
销售助理_promotion1,销售助理,直销业务线,销售助理 → 销售代表 → 销售主管 / 销售经理,销售助理,销售代表,销售主管 / 销售经理,,
销售助理_promotion2,销售助理,大客户销售线,销售助理 → 销售代表 → 大客户经理,销售助理,销售代表,大客户经理,大客户代表,
电话销售_promotion1,电话销售,电话销售线,电话销售专员 → 资深电话销售 → 销售主管 / 大客户销售,电话销售专员,资深电话销售,销售主管 / 大客户销售,,
网络销售_promotion1,网络销售,网络销售线,网络销售专员 → 资深网络销售 → 电商销售经理 / 区域销售主管,网络销售专员,资深网络销售,电商销售经理 / 区域销售主管,,
广告销售_promotion1,广告销售,广告销售线,广告销售专员 → 资深广告销售 → 广告销售经理 / 媒介总监,广告销售专员,资深广告销售,广告销售经理 / 媒介总监,,
大客户代表_promotion1,大客户代表,大客户销售线,大客户助理 → 大客户代表 → 大客户经理 / 区域销售总监,大客户助理,大客户代表,大客户经理 / 区域销售总监,,
商务专员_promotion1,商务专员,商务拓展线,商务助理 → 商务专员 → 商务经理 / 商务总监,商务助理,商务专员,商务经理 / 商务总监,,
BD经理_promotion1,BD经理,BD商务线,BD专员 → BD经理 → 商务总监 / 渠道总监,BD专员,BD经理,商务总监 / 渠道总监,,岗位名已为经理档，stage1为常见入口称谓
运营助理_专员_promotion1,运营助理/专员,综合运营线,运营助理 → 运营专员 → 运营主管 / 运营经理,运营助理,运营专员,运营主管 / 运营经理,,
运营助理_专员_promotion2,运营助理/专员,用户增长运营线,运营助理 → 用户运营专员 → 用户运营经理 / 增长负责人,运营助理,用户运营专员,用户运营经理 / 增长负责人,,
游戏运营_promotion1,游戏运营,游戏运营线,游戏运营助理 → 游戏运营 → 游戏运营主管 / 游戏制作人助理,游戏运营助理,游戏运营,游戏运营主管 / 游戏制作人助理,,
社区运营_promotion1,社区运营,社区用户运营线,社区运营助理 → 社区运营 → 社区负责人 / 用户运营经理,社区运营助理,社区运营,社区负责人 / 用户运营经理,,
销售运营_promotion1,销售运营,销售运营线,销售运营助理 → 销售运营 → 销售运营经理 / 营收运营负责人,销售运营助理,销售运营,销售运营经理 / 营收运营负责人,,
APP推广_promotion1,APP推广,APP增长线,推广专员 → APP推广 → 增长负责人 / 市场经理,推广专员,APP推广,增长负责人 / 市场经理,,
游戏推广_promotion1,游戏推广,游戏发行推广线,游戏推广专员 → 游戏推广 → 发行市场经理 / 推广负责人,游戏推广专员,游戏推广,发行市场经理 / 推广负责人,,
内容审核_promotion1,内容审核,内容安全线,审核专员 → 内容审核 → 审核组长 / 内容安全主管,审核专员,内容审核,审核组长 / 内容安全主管,,
律师助理_promotion1,律师助理,律所执业线,律师助理 → 律师 → 主办律师 / 合伙人,律师助理,律师,主办律师 / 合伙人,律师,第三段「合伙人」为律所通道称谓
律师助理_promotion2,律师助理,企业法务入口线,律师助理 → 律师 → 法务经理 / 法务总监,律师助理,律师,法务经理 / 法务总监,,进入企业法务体系
律师_promotion1,律师,律所执业线,律师助理 → 律师 → 主办律师 / 合伙人,律师助理,律师,主办律师 / 合伙人,,与律师助理律所线一致，锚定当前 title
律师_promotion2,律师,企业法务线,法务专员/助理 → 律师 → 法务总监,法务专员/助理,律师,法务总监,,企业内法务资深通道
法务专员_助理_promotion1,法务专员/助理,企业法务线,法务助理 → 法务专员 → 法务经理 / 法务总监,法务助理,法务专员,法务经理 / 法务总监,,
知识产权_专利代理_promotion1,知识产权/专利代理,知识产权代理线,专利流程助理 → 专利代理师 → 高级专利代理人 / IP部门负责人,专利流程助理,专利代理师,高级专利代理人 / IP部门负责人,,
招聘专员_助理_promotion1,招聘专员/助理,招聘人力线,招聘助理 → 招聘专员 → 招聘经理 / HRBP,招聘助理,招聘专员,招聘经理 / HRBP,,
猎头顾问_promotion1,猎头顾问,猎头顾问线,猎头助理 → 猎头顾问 → 猎头总监 / 合伙人,猎头助理,猎头顾问,猎头总监 / 合伙人,,
培训师_promotion1,培训师,培训发展线,培训助理 → 培训师 → 培训经理 / 学习发展负责人,培训助理,培训师,培训经理 / 学习发展负责人,,
管培生_储备干部_promotion1,管培生/储备干部,管培生管理线,管培生 → 储备干部 → 储备经理人 / 部门经理,管培生,储备干部,储备经理人 / 部门经理,储备经理人,
储备干部_promotion1,储备干部,储备干部发展线,管培生/储备干部 → 储备干部 → 储备经理人 / 业务主管,管培生/储备干部,储备干部,储备经理人 / 业务主管,储备经理人,
售后客服_promotion1,售后客服,售后客服线,客服专员 → 售后客服 → 客服主管 / 客户成功经理,客服专员,售后客服,客服主管 / 客户成功经理,,
网络客服_promotion1,网络客服,在线客服线,在线客服专员 → 网络客服 → 在线客服主管 / 客户体验经理,在线客服专员,网络客服,在线客服主管 / 客户体验经理,,
电话客服_promotion1,电话客服,呼叫中心线,电话客服专员 → 电话客服 → 呼叫中心主管 / 客服运营经理,电话客服专员,电话客服,呼叫中心主管 / 客服运营经理,,
统计员_promotion1,统计员,统计分析线,统计助理 → 统计员 → 数据分析主管 / 经营分析经理,统计助理,统计员,数据分析主管 / 经营分析经理,,
质检员_promotion1,质检员,质量检验线,质检员 → 高级质检员 → QC主管 / 生产质量经理,质检员,高级质检员,QC主管 / 生产质量经理,,
档案管理_promotion1,档案管理,档案行政线,档案员 → 档案管理 → 档案主管 / 行政经理,档案员,档案管理,档案主管 / 行政经理,,
资料管理_promotion1,资料管理,项目资料线,资料员 → 资料管理 → 资料主管 / 项目文档经理,资料员,资料管理,资料主管 / 项目文档经理,,
英语翻译_promotion1,英语翻译,英语翻译线,翻译助理 → 英语翻译 → 资深翻译 / 翻译主管,翻译助理,英语翻译,资深翻译 / 翻译主管,,
日语翻译_promotion1,日语翻译,日语翻译线,翻译助理 → 日语翻译 → 资深翻译 / 对日业务负责人,翻译助理,日语翻译,资深翻译 / 对日业务负责人,,
咨询顾问_promotion1,咨询顾问,管理咨询线,咨询助理 → 咨询顾问 → 高级咨询顾问 / 合伙人,咨询助理,咨询顾问,高级咨询顾问 / 合伙人,,
咨询顾问_promotion2,咨询顾问,行业专家咨询线,行业分析师 → 咨询顾问 → 首席顾问 / 行业专家,行业分析师,咨询顾问,首席顾问 / 行业专家,,
